grid,column,row,Northness,Vege_heig_max,Soil_moist_4_final,Soil_temp_4_adj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H,9,-0.57,72,21.24506403,12.45399306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,10,-0.57,27,28.25564871,12.55138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,10,-0.71,23,28.9662334,13.44878472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,10,-0.87,29,24.17681809,13.54618056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,10,-0.94,42,25.48740278,14.64357639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,10,-0.94,23,28.69798746,16.44097222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,F,10,-0.94,21,22.10857215,14.23836806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G,10,-0.97,54,16.41915684,13.83576389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H,10,-0.98,78,21.12974153,12.93315972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,11,-0.91,24,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,11,-0.97,23,33.2509109,13.22795139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
